location_index,location,i,j,x,y,weighted_ess,local_selector_points,pointwise_success_rate,weighted_success_rate,local_success_rate,full_success_rate,raw_report_path
28,"(2,8)",2,8,88.88888888888889,22.22222222222222,5.148808910462564,5,0.97,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_028_i02_j08.json
29,"(2,9)",2,9,100.0,22.22222222222222,14.42993116321566,14,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_029_i02_j09.json
30,"(3,0)",3,0,0.0,33.33333333333333,30.4127311096274,30,1.0,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_030_i03_j00.json
31,"(3,1)",3,1,11.11111111111111,33.33333333333333,22.986538536033038,23,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_031_i03_j01.json
32,"(3,2)",3,2,22.22222222222222,33.33333333333333,22.59260827337017,23,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_032_i03_j02.json
33,"(3,3)",3,3,33.33333333333333,33.33333333333333,34.707394989505495,35,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_033_i03_j03.json
34,"(3,4)",3,4,44.44444444444444,33.33333333333333,16.03405644676233,16,1.0,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_034_i03_j04.json
35,"(3,5)",3,5,55.55555555555556,33.33333333333333,36.324686879356264,36,0.97,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_035_i03_j05.json
36,"(3,6)",3,6,66.66666666666666,33.33333333333333,19.399820285969305,19,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_036_i03_j06.json
37,"(3,7)",3,7,77.77777777777777,33.33333333333333,16.677656436875232,17,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_037_i03_j07.json
38,"(3,8)",3,8,88.88888888888889,33.33333333333333,7.870244256688238,8,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_038_i03_j08.json
39,"(3,9)",3,9,100.0,33.33333333333333,7.920944344665627,8,0.95,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_039_i03_j09.json
40,"(4,0)",4,0,0.0,44.44444444444444,7.053931379441026,7,1.0,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_040_i04_j00.json
41,"(4,1)",4,1,11.11111111111111,44.44444444444444,22.578051632266753,23,1.0,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_041_i04_j01.json
42,"(4,2)",4,2,22.22222222222222,44.44444444444444,39.06729867673408,39,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_042_i04_j02.json
43,"(4,3)",4,3,33.33333333333333,44.44444444444444,5.238601755731224,5,0.96,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_043_i04_j03.json
44,"(4,4)",4,4,44.44444444444444,44.44444444444444,17.29500250215842,17,0.96,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_044_i04_j04.json
45,"(4,5)",4,5,55.55555555555556,44.44444444444444,33.78438679072296,34,0.97,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_045_i04_j05.json
46,"(4,6)",4,6,66.66666666666666,44.44444444444444,17.38818441781271,17,1.0,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_046_i04_j06.json
47,"(4,7)",4,7,77.77777777777777,44.44444444444444,14.783090966778643,15,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_047_i04_j07.json
48,"(4,8)",4,8,88.88888888888889,44.44444444444444,8.694566521939405,9,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_048_i04_j08.json
49,"(4,9)",4,9,100.0,44.44444444444444,16.50143043075279,17,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_049_i04_j09.json
50,"(5,0)",5,0,0.0,55.55555555555556,3.6375136369607435,4,0.99,1.0,0.99,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_050_i05_j00.json
