location_index,location,i,j,x,y,pointwise,weighted,local,full
0,"(0,0)",0,0,0.0,0.0,28.105420860692256,16.51718828369931,14.059901324212333,2.060288731379745
1,"(0,1)",0,1,11.11111111111111,0.0,30.462534844505814,11.154321880451622,18.342470614075843,7.450658083343783
2,"(0,2)",0,2,22.22222222222222,0.0,24.422665036984192,9.663872539907892,4.316796316791767,11.830639175053406
3,"(0,3)",0,3,33.33333333333333,0.0,23.40573038415596,12.246235419309642,25.000489721723707,27.59346169823911
4,"(0,4)",0,4,44.44444444444444,0.0,22.12320835453298,9.358559850221779,11.009182431419555,22.602423363487382
5,"(0,5)",0,5,55.55555555555556,0.0,23.62386484827672,26.99482237277306,29.36924045865728,28.150694894814208
6,"(0,6)",0,6,66.66666666666666,0.0,23.39619014393391,15.369930604513119,20.104460475368437,15.920745528246824
7,"(0,7)",0,7,77.77777777777777,0.0,28.153031608203435,5.614926174180638,3.8938185348454177,5.165563801843587
8,"(0,8)",0,8,88.88888888888889,0.0,23.155964031936012,18.797880567964054,14.580165575592032,23.04338020290943
9,"(0,9)",0,9,100.0,0.0,20.791540906662362,6.388955001344156,15.5493745677631,28.423768741976666
10,"(1,0)",1,0,0.0,11.11111111111111,33.76189176391263,10.871493868498373,8.238675481415374,22.743176968608957
11,"(1,1)",1,1,11.11111111111111,11.11111111111111,30.777062822044044,12.003961893266947,7.5717044493004,9.78697772258974
12,"(1,2)",1,2,22.22222222222222,11.11111111111111,23.389801257938753,23.08641635117198,16.914989795897093,27.325082749605485
13,"(1,3)",1,3,33.33333333333333,11.11111111111111,23.666535326321515,11.065574779442674,20.508088012184224,10.328949061687371
14,"(1,4)",1,4,44.44444444444444,11.11111111111111,21.925301917531744,23.860218940227554,25.81064011691313,21.148038783144152
15,"(1,5)",1,5,55.55555555555556,11.11111111111111,27.250227508522254,16.362098039993754,5.80698952354624,4.21323829784983
16,"(1,6)",1,6,66.66666666666666,11.11111111111111,25.625326173182476,13.50255833611134,29.232982408907272,30.381784045925357
17,"(1,7)",1,7,77.77777777777777,11.11111111111111,25.991457248996014,4.208779292834861,8.849446040062166,2.6080954053895784
18,"(1,8)",1,8,88.88888888888889,11.11111111111111,22.165195639821956,15.934808007987389,32.3839981654093,41.97143737344815
19,"(1,9)",1,9,100.0,11.11111111111111,23.26167360860019,18.623240026213374,20.02184445977927,2.228889983853544
20,"(2,0)",2,0,0.0,22.22222222222222,25.740832472376336,11.426642229726351,8.791721653708715,14.76428162126374
21,"(2,1)",2,1,11.11111111111111,22.22222222222222,27.7954974265393,11.330801208303326,12.044074371907042,3.0669288960908663
22,"(2,2)",2,2,22.22222222222222,22.22222222222222,31.54247169918931,10.908546732032873,6.745472192918229,5.681832467264982
23,"(2,3)",2,3,33.33333333333333,22.22222222222222,22.9665396636818,8.06220216923031,9.430607063770777,17.25804817188302
24,"(2,4)",2,4,44.44444444444444,22.22222222222222,28.203092659061557,24.300508108735233,11.290515956302082,5.141438051253261
25,"(2,5)",2,5,55.55555555555556,22.22222222222222,31.368652103977862,9.957037074473769,5.616962102833611,5.737620149870511
26,"(2,6)",2,6,66.66666666666666,22.22222222222222,18.70610348423806,7.523429026107539,14.764143859411938,7.089741992190224
27,"(2,7)",2,7,77.77777777777777,22.22222222222222,20.196123978146986,3.6910682794335683,3.776141994654112,9.981493661422903
28,"(2,8)",2,8,88.88888888888889,22.22222222222222,22.393569653655817,20.067408018191664,7.234291561989238,30.898836401984617
29,"(2,9)",2,9,100.0,22.22222222222222,18.94593440837349,11.59225686935766,27.3612603957647,50.41235762047729
30,"(3,0)",3,0,0.0,33.33333333333333,25.558246954772837,14.093492044139115,12.857105281854734,22.724543312133576
31,"(3,1)",3,1,11.11111111111111,33.33333333333333,30.400284928738117,10.083834169682106,6.1879065471234,7.202450925358378
32,"(3,2)",3,2,22.22222222222222,33.33333333333333,23.466913739539294,12.644562563224056,18.397087067735374,29.036403271993468
33,"(3,3)",3,3,33.33333333333333,33.33333333333333,23.54763944422431,10.925575295850358,7.531516617457425,10.689070712180296
34,"(3,4)",3,4,44.44444444444444,33.33333333333333,26.8057544366697,16.50228886362518,29.24402471004458,34.30177721860563
35,"(3,5)",3,5,55.55555555555556,33.33333333333333,25.450504296106587,17.061368697790535,21.23308685746491,14.6806311601793
36,"(3,6)",3,6,66.66666666666666,33.33333333333333,24.20817447098959,13.845416362132585,4.556336980434928,4.468470213327371
37,"(3,7)",3,7,77.77777777777777,33.33333333333333,18.622156640444363,16.679019671140406,7.291836356859213,21.251413107224167
38,"(3,8)",3,8,88.88888888888889,33.33333333333333,19.76573707652923,10.61592776767271,19.83038393078589,55.83215255322862
39,"(3,9)",3,9,100.0,33.33333333333333,16.32786560887557,6.0457411659922276,12.742334214307085,43.85664293339043
40,"(4,0)",4,0,0.0,44.44444444444444,23.170842169442423,11.606659825970409,37.206720135140856,24.84559138225505
41,"(4,1)",4,1,11.11111111111111,44.44444444444444,28.62742094470715,15.714632484018338,7.834760286867469,2.117151141181953
42,"(4,2)",4,2,22.22222222222222,44.44444444444444,23.602615025780633,20.47918232941111,25.34540030368246,19.83057552485461
43,"(4,3)",4,3,33.33333333333333,44.44444444444444,28.694149179923972,20.286993960959773,19.64583544870302,13.95656358361099
44,"(4,4)",4,4,44.44444444444444,44.44444444444444,21.241556942506158,5.880898470392389,12.285198594084893,13.52324365060904
45,"(4,5)",4,5,55.55555555555556,44.44444444444444,20.410889470203784,3.045759347738054,6.144588956189472,3.5787614019228675
46,"(4,6)",4,6,66.66666666666666,44.44444444444444,16.359582830019463,14.274842278769915,39.443137893090295,52.831629250881406
47,"(4,7)",4,7,77.77777777777777,44.44444444444444,15.746815278720558,3.7190232098087055,15.220886322165784,45.25774557132666
48,"(4,8)",4,8,88.88888888888889,44.44444444444444,17.11072530848136,4.8376990613461865,10.989958319741309,48.296872284159726
49,"(4,9)",4,9,100.0,44.44444444444444,18.415264172575416,9.896836309363643,4.286029048317136,24.572854058021647
50,"(5,0)",5,0,0.0,55.55555555555556,26.698437144331873,18.46759093269651,16.81404335873388,17.01239331603784
51,"(5,1)",5,1,11.11111111111111,55.55555555555556,22.988941824171903,11.367690974992103,9.092016868027475,11.476245057719753
52,"(5,2)",5,2,22.22222222222222,55.55555555555556,26.350652021738906,11.33631708754517,9.716756573770468,10.665777138736969
53,"(5,3)",5,3,33.33333333333333,55.55555555555556,24.56892072410877,6.164732340188652,13.875044437107952,9.38725087549704
54,"(5,4)",5,4,44.44444444444444,55.55555555555556,21.119017057243507,19.987507685617743,21.119017057243507,33.119547986958075
55,"(5,5)",5,5,55.55555555555556,55.55555555555556,16.979450740611853,7.923450496376889,28.120282508275004,44.70120562723646
56,"(5,6)",5,6,66.66666666666666,55.55555555555556,18.341440118264536,5.288552961172386,7.255669959635451,35.39969427531489
57,"(5,7)",5,7,77.77777777777777,55.55555555555556,13.558509489823416,6.321371755824239,6.2972387642665515,47.18351741847933
58,"(5,8)",5,8,88.88888888888889,55.55555555555556,21.469677350454575,12.422028985015299,31.68120208625496,52.30498812320087
59,"(5,9)",5,9,100.0,55.55555555555556,22.153033693366982,9.875139491355696,15.51707002139857,2.650246193528258
60,"(6,0)",6,0,0.0,66.66666666666666,30.327494403864712,9.620930825380672,5.760027487216302,5.505283509408748
61,"(6,1)",6,1,11.11111111111111,66.66666666666666,21.29382186795214,24.064424067445927,27.749339927909045,28.612025680490923
62,"(6,2)",6,2,22.22222222222222,66.66666666666666,27.776447661647587,9.890103565867214,7.339812212173331,9.300272290439786
63,"(6,3)",6,3,33.33333333333333,66.66666666666666,19.791832765868072,8.442169706239193,6.038978958977741,8.605779562021837
64,"(6,4)",6,4,44.44444444444444,66.66666666666666,18.57049462579472,8.988847266448289,12.206778091871897,28.820639496800716
65,"(6,5)",6,5,55.55555555555556,66.66666666666666,12.798870331112534,11.99893327200489,24.576292955560312,50.09645112084602
66,"(6,6)",6,6,66.66666666666666,66.66666666666666,17.11722439237872,3.7902443485215684,14.252747021284707,40.49268557118296
67,"(6,7)",6,7,77.77777777777777,66.66666666666666,17.688291056025953,8.1662626958086,20.04674619785439,31.270515166132714
