location_index,location,i,j,x,y,pointwise,weighted,local,full
0,"(0,0)",0,0,0.0,0.0,1.8639995919809154,0.599774698031415,2.2684029559471606,7.219898073721391
1,"(0,1)",0,1,11.11111111111111,0.0,2.11241421004498,1.759199934213816,0.5936509036448278,5.145888567993567
2,"(0,2)",0,2,22.22222222222222,0.0,2.0989212678847284,0.4395418976287401,2.1351130435309695,3.1885090985077125
3,"(0,3)",0,3,33.33333333333333,0.0,1.830076752261366,1.6444597607026459,2.4876921106062055,1.6837409414376776
4,"(0,4)",0,4,44.44444444444444,0.0,1.5314285482800805,2.032886505977528,3.5374937440898937,7.06038834658549
5,"(0,5)",0,5,55.55555555555556,0.0,1.5601291307212244,3.99413020420649,3.7321455773279575,1.8804168583559457
6,"(0,6)",0,6,66.66666666666666,0.0,2.1257527493916966,1.6183433701717456,4.919949305561366,4.317016404693638
7,"(0,7)",0,7,77.77777777777777,0.0,2.334568590441453,3.566839732725168,7.279547538974446,5.908300757127778
8,"(0,8)",0,8,88.88888888888889,0.0,1.7818404455090262,1.386144718302301,2.764103917111646,0.1908137028996134
9,"(0,9)",0,9,100.0,0.0,1.205197535917892,1.089563154883564,6.254947475963255,8.98972748309886
10,"(1,0)",1,0,0.0,11.11111111111111,2.6594407051582025,3.563612823849933,5.5867999633405345,13.976570514037311
11,"(1,1)",1,1,11.11111111111111,11.11111111111111,2.2719230861006903,2.1618421721784675,4.162205058081043,10.262441492305
12,"(1,2)",1,2,22.22222222222222,11.11111111111111,2.5235611865134766,3.4704968902097235,2.43728712423941,7.3383158169147125
13,"(1,3)",1,3,33.33333333333333,11.11111111111111,2.0826107329138557,1.5437921810240258,0.7031496400881716,4.199536074656994
14,"(1,4)",1,4,44.44444444444444,11.11111111111111,1.8188828588719974,2.680504325714882,2.577268185695694,0.5963903488114907
15,"(1,5)",1,5,55.55555555555556,11.11111111111111,2.1054139019509717,0.7001860485439456,5.803452299614152,8.519024976141054
16,"(1,6)",1,6,66.66666666666666,11.11111111111111,2.1087527522985448,0.6311459164397318,6.225512746251071,8.120759838129922
17,"(1,7)",1,7,77.77777777777777,11.11111111111111,2.026682659040629,1.8774875222566505,3.169575605044347,0.6416321845911565
18,"(1,8)",1,8,88.88888888888889,11.11111111111111,1.6192310509504029,0.6969154996947452,4.368217898008217,6.964577889202147
19,"(1,9)",1,9,100.0,11.11111111111111,1.585475833747958,3.1288239049770037,5.123685716024119,0.24290892614092544
