location_index,location,i,j,x,y,pointwise,weighted,local,full
0,"(0,0)",0,0,0.0,0.0,0.0982238199358321,0.06146962351148178,0.06552566526007018,0.05371544514809907
1,"(0,1)",0,1,11.11111111111111,0.0,0.11184369869474015,0.056971027212329356,0.06187868030785449,0.05371544514809907
2,"(0,2)",0,2,22.22222222222222,0.0,0.09971137754934335,0.04685007216814333,0.043534643556631225,0.04742814313548289
3,"(0,3)",0,3,33.33333333333333,0.0,0.10951693353204829,0.06103064980899714,0.06372500611606019,0.05371544514809907
